Customer ID,Customer Verbatim
0334-GDDSO,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
5564-NEMQO,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
6235-VDHOM,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
5609-CEBID,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
5956-VKDTT,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
0257-ZESQC,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
2865-TCHJW,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
5192-EBGOV,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
3419-SNJJD,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
4554-YGZIH,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
5099-BAILX,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
4913-EHYUI,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
1626-ERCMM,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
5644-PDMZC,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
4160-AMJTL,Customer called to complain about constant phone connection drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
0823-HSCDJ,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
0067-DKWBL,Customer called to check if paperless billing is active. No comments on service quality.
5244-IRFIH,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
2684-EIWEO,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
6683-VLCTZ,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
0691-IFBQW,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
3643-AHCFP,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
9231-ZJYAM,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
0727-BMPLR,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
0947-MUGVO,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
0781-LKXBR,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
1907-UBQFC,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
6513-EECDB,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
7074-IEVOJ,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
4750-ZRXIU,Tech support note: Customer had 3 technician visits this month for Cable internet issues and it is still not fixed. Customer is highly dissatisfied.
7028-DVOIQ,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
4208-UFFGW,Tech support note: Customer had 3 technician visits this month for DSL internet issues and it is still not fixed. Customer is highly dissatisfied.
9889-TMAHG,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
8919-FYFQZ,Customer called to check if paperless billing is active. No comments on service quality.
6646-QVXLR,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
9369-XFEHK,Frustrated chat transcript: 'My Cable internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
1374-DMZUI,Customer called to check if paperless billing is active. No comments on service quality.
1989-PRJHP,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
4822-RVYBB,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
4184-TJFAN,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
4145-UQXUQ,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
1236-WFCDV,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
1271-SJBGZ,Customer called to check if paperless billing is active. No comments on service quality.
4441-NIHPT,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
8999-BOHSE,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
7029-RPUAV,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
8111-SLLHI,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
5293-WXJAK,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
4086-YQSNZ,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
8399-YNDCH,Tech support note: Customer had 3 technician visits this month for DSL internet issues and it is still not fixed. Customer is highly dissatisfied.
5565-FILXA,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
4187-CINZD,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
6818-WOBHJ,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
9134-CEQMF,Customer called to check if paperless billing is active. No comments on service quality.
8519-IMDHU,Tech support note: Customer had 3 technician visits this month for Cable internet issues and it is still not fixed. Customer is highly dissatisfied.
3372-KWFBM,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
7206-GZCDC,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
1768-ZAIFU,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
3793-MMFUH,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
6567-HOOPW,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
8621-MNIHH,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
5419-CONWX,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
7024-OHCCK,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
5357-TZHPP,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
0506-LVNGN,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
9809-IMGCQ,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
3254-YRILK,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
0529-ONKER,Customer checked their billing balance. Seemed satisfied with the response.
5240-IJOQT,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
0661-XEYAN,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
2660-EMUBI,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
7675-OZCZG,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
9391-EOYLI,Customer checked their billing balance. Seemed satisfied with the response.
2761-OCIAX,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
3068-OMWZA,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
4154-AQUGT,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
8017-LXHFA,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
4248-QPAVC,Customer called to check if paperless billing is active. No comments on service quality.
4690-LLKUA,Frustrated chat transcript: 'My DSL internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
9490-DFPMD,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
8580-AECUZ,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
5047-LHVLY,Frustrated chat transcript: 'My Cable internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
8375-DKEBR,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
7279-BUYWN,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
7156-MHUGY,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
9606-PBKBQ,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
3536-IQCTX,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
3132-TVFDZ,Customer called to complain about constant Cable internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
8080-DDEMJ,Tech support note: Customer had 3 technician visits this month for Cable internet issues and it is still not fixed. Customer is highly dissatisfied.
6702-OHFWR,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
4510-PYUSH,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
8840-DQLGN,Customer called to complain about constant Cable internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
4193-ORFCL,Customer called to complain about constant DSL internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
7776-QWNFX,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
6689-TCZHQ,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
9497-QCMMS,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
3424-NMNBO,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
4514-GFCFI,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
8000-REIQB,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
4795-KTRTH,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
9961-JBNMK,Customer checked their billing balance. Seemed satisfied with the response.
6179-GJPSO,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
8290-YWKHZ,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
8051-HJRLT,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
4021-RQSNY,Customer checked their billing balance. Seemed satisfied with the response.
9061-TIHDA,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
8699-ASUFO,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
4695-WJZUE,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
3988-RQIXO,Customer checked their billing balance. Seemed satisfied with the response.
5931-FLJJF,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
3207-OYBWH,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
7216-EWTRS,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
2528-HFYZX,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
4140-MUHUG,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
1587-FKLZB,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
5440-FLBQG,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
2774-LVQUS,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
4612-THJBS,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
4094-NSEDU,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
1846-XWOQN,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
3757-NJYBX,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
9898-KZQDZ,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
8263-JQAIK,Customer called to check if paperless billing is active. No comments on service quality.
2205-YMZZJ,Customer checked their billing balance. Seemed satisfied with the response.
1254-IZEYF,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
9221-OTIVJ,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
5908-QMGOE,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
0397-GZBBC,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
7641-EUYET,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
8922-LIEGH,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
8245-UMPYT,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
5186-SAMNZ,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
5373-SFODM,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
0022-TCJCI,Customer called to complain about constant DSL internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
5130-IEKQT,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
3269-ATYWD,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
0354-WYROK,Customer checked their billing balance. Seemed satisfied with the response.
7576-OYWBN,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
5539-TMZLF,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
3336-JORSO,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
6861-XWTWQ,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
4283-FUTGF,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
2397-BRLOM,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
8510-AWCXC,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
8225-BTJAU,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
1724-BQUHA,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
4826-XTSOH,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
2408-WITXK,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
2634-HCZGT,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
7503-QQRVF,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
0709-TVGUR,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
3001-CBHLQ,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
4102-OQUPX,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
3999-QGRJH,Customer called to check if paperless billing is active. No comments on service quality.
2454-RPBRZ,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
2265-CYWIV,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
4550-VBOFE,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
7409-KIUTL,Customer checked their billing balance. Seemed satisfied with the response.
1732-VHUBQ,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
0679-IDSTG,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
8802-UNOJF,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
6313-GIDIT,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
2845-AFFTX,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
2815-CPTUL,Customer checked their billing balance. Seemed satisfied with the response.
1891-FZYSA,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
9685-WKZGT,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
6022-UGGSO,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
3923-CSIHK,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
3677-IYRBF,Customer checked their billing balance. Seemed satisfied with the response.
8118-LSUEL,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
5277-ZLOOR,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
4248-HCETZ,Customer called to check if paperless billing is active. No comments on service quality.
9174-FKWZE,Customer called to check if paperless billing is active. No comments on service quality.
5307-DZCVC,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
8679-JOEVF,Customer checked their billing balance. Seemed satisfied with the response.
4803-AXVYP,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
5649-ANRML,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
7395-IGJOS,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
7890-VYYWG,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
9907-SWKKF,Tech support note: Customer had 3 technician visits this month for DSL internet issues and it is still not fixed. Customer is highly dissatisfied.
6397-JNZZG,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
7779-LGOVN,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
9710-ZUSHQ,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
3902-FOIGH,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
3318-OSATS,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
2636-ALXXZ,Customer called to check if paperless billing is active. No comments on service quality.
9885-CSMWE,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
8058-JMEQO,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
7657-DYEPJ,Customer checked their billing balance. Seemed satisfied with the response.
8276-MQBYC,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
6015-VVHHE,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
2516-VQRRV,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
7580-UGXNC,Customer checked their billing balance. Seemed satisfied with the response.
5178-LMXOP,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
7056-IMHCC,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
8749-JMNKX,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
0917-EZOLA,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
8414-MYSHR,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
4988-IQIGL,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
4706-AXVKM,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
5889-JTMUL,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
9026-RNUJS,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
1624-NALOJ,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
6210-KBBPI,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
2260-USTRB,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
8623-TMRBY,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
6900-PXRMS,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
3346-BRMIS,Customer called to check if paperless billing is active. No comments on service quality.
2722-JMONI,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
7579-OOPEC,Customer called to check if paperless billing is active. No comments on service quality.
1771-OADNZ,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
0612-RTZZA,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
4433-JCGCG,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
9488-HGMJH,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
4818-QIUFN,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
6961-VCPMC,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
4424-TKOPW,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
4201-JMNGR,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
1866-RZZQS,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
8631-NBHFZ,Frustrated chat transcript: 'My DSL internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
4958-XCBDQ,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
8337-UPOAQ,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
6712-OAWRH,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
5914-DVBWJ,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
8644-XLFBW,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
1833-VGRUM,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
8374-XGEJJ,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
6946-LMSQS,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
4039-HEUNW,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
0812-WUPTB,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
2403-BCASL,Customer checked their billing balance. Seemed satisfied with the response.
3871-IKPYH,Customer called to check if paperless billing is active. No comments on service quality.
1304-NECVQ,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
5655-JSMZM,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
4505-EXZHB,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
8972-HJWNV,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
